PAR_GROUP,PAR_NAME,PAR_TYPE,PAR_LENGTH,PAR_INIT,REG_TEST_PAR,REG_MODE_NONE_ONLY,REG_FIELD_REG,REG_CURRENT_REG,REG_PAR_SIM_VS,REG_PAR_INVERT_LIMITS,REG_PAR_V_LIMITS_REF,REG_PAR_V_LIMITS_ERR,REG_PAR_I_LIMITS_MEAS,REG_PAR_I_LIMITS_REF,REG_PAR_I_LIMITS_ERR,REG_PAR_B_LIMITS_MEAS,REG_PAR_B_LIMITS_REF,REG_PAR_B_LIMITS_ERR,REG_PAR_I_LIMITS_RMS,REG_PAR_I_LIMITS_RMS_LOAD,REG_PAR_I_MEAS_REG_SELECT,REG_PAR_I_MEAS_FILTER,REG_PAR_B_MEAS_REG_SELECT,REG_PAR_B_MEAS_FILTER,REG_PAR_MEAS_SIM_DELAYS,REG_PAR_MEAS_SIM_NOISE_AND_TONE,REG_PAR_LOAD,REG_PAR_LOAD_SAT,REG_PAR_LOAD_SIM,REG_PAR_IREG,REG_PAR_BREG,REG_PAR_LOAD_TEST,REG_PAR_LOAD_SAT_TEST,REG_PAR_IREG_TEST,REG_PAR_BREG_TEST
REG,ERR_RATE,enum reg_err_rate,1,REG_ERR_RATE_REGULATION,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,YES
BREG,PERIOD_ITERS,uint32_t,REG_NUM_LOADS,10,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
BREG,PURE_DELAY_PERIODS,float,REG_NUM_LOADS,0,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
BREG,TRACK_DELAY_PERIODS,float,REG_NUM_LOADS,0,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
BREG,AUXPOLE1_HZ,float,REG_NUM_LOADS,10,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
BREG,AUXPOLES2_HZ,float,REG_NUM_LOADS,10,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
BREG,AUXPOLES2_Z,float,REG_NUM_LOADS,0.50,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
BREG,AUXPOLE4_HZ,float,REG_NUM_LOADS,10.00,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
BREG,AUXPOLE5_HZ,float,REG_NUM_LOADS,10.00,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
BREG,R,float,REG_NUM_RST_COEFFS,0.00,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
BREG,S,float,REG_NUM_RST_COEFFS,0.00,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
BREG,T,float,REG_NUM_RST_COEFFS,0.00,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
BREG_TEST,R,float,REG_NUM_RST_COEFFS,0.00,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
BREG_TEST,S,float,REG_NUM_RST_COEFFS,0.00,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
BREG_TEST,T,float,REG_NUM_RST_COEFFS,0.00,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
IREG,PERIOD_ITERS,uint32_t,REG_NUM_LOADS,10.00,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
IREG,PURE_DELAY_PERIODS,float,REG_NUM_LOADS,0.00,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
IREG,TRACK_DELAY_PERIODS,float,REG_NUM_LOADS,0.00,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
IREG,AUXPOLE1_HZ,float,REG_NUM_LOADS,10.00,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
IREG,AUXPOLES2_HZ,float,REG_NUM_LOADS,10.00,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
IREG,AUXPOLES2_Z,float,REG_NUM_LOADS,0.50,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
IREG,AUXPOLE4_HZ,float,REG_NUM_LOADS,10.00,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
IREG,AUXPOLE5_HZ,float,REG_NUM_LOADS,10.00,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
IREG,R,float,REG_NUM_RST_COEFFS,0.00,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
IREG,S,float,REG_NUM_RST_COEFFS,0.00,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
IREG,T,float,REG_NUM_RST_COEFFS,0.00,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
IREG_TEST,R,float,REG_NUM_RST_COEFFS,0.00,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
IREG_TEST,S,float,REG_NUM_RST_COEFFS,0.00,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
IREG_TEST,T,float,REG_NUM_RST_COEFFS,0.00,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
LIMITS,B_POS,float,REG_NUM_LOADS,1.00,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LIMITS,B_MIN,float,REG_NUM_LOADS,0.00,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LIMITS,B_NEG,float,REG_NUM_LOADS,-1.00,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
